Simulation,Data Size (TB),ESGF Links,HPSS Path,HPSS URL
E3SM_1_1_piControl,23,,/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_piControl,https://portal.nersc.gov/archive/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_piControl
E3SM_1_1_piControl-ext85yr,8,,/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_piControl-ext85yr,https://portal.nersc.gov/archive/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_piControl-ext85yr
E3SM_1_1_hist-BCRC,16,,/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_hist-BCRC,https://portal.nersc.gov/archive/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_hist-BCRC
E3SM_1_1_ssp585-BCRC,8,,/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ssp585-BCRC,https://portal.nersc.gov/archive/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ssp585-BCRC
E3SM_1_1_hist-BCRD,16,,/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_hist-BCRD,https://portal.nersc.gov/archive/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_hist-BCRD
E3SM_1_1_ssp585-BCRD,8,,/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ssp585-BCRD,https://portal.nersc.gov/archive/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ssp585-BCRD
E3SM_1_1_hist-BDRC,16,,/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_hist-BDRC,https://portal.nersc.gov/archive/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_hist-BDRC
E3SM_1_1_ssp585-BDRC,8,,/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ssp585-BDRC,https://portal.nersc.gov/archive/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ssp585-BDRC
E3SM_1_1_hist-BDRD,16,,/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_hist-BDRD,https://portal.nersc.gov/archive/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_hist-BDRD
E3SM_1_1_ssp585-BDRD,8,,/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ssp585-BDRD,https://portal.nersc.gov/archive/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ssp585-BDRD
E3SM_1_1_ECA_piControl,22,,/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ECA_piControl,https://portal.nersc.gov/archive/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ECA_piControl
E3SM_1_1_ECA_piControl-ext85yr,8,,/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ECA_piControl-ext85yr,https://portal.nersc.gov/archive/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ECA_piControl-ext85yr
E3SM_1_1_ECA_hist-BCRC,15,,/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ECA_hist-BCRC,https://portal.nersc.gov/archive/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ECA_hist-BCRC
E3SM_1_1_ECA_ssp585-BCRC,8,,/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ECA_ssp585-BCRC,https://portal.nersc.gov/archive/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ECA_ssp585-BCRC
E3SM_1_1_ECA_hist-BCRD,15,,/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ECA_hist-BCRD,https://portal.nersc.gov/archive/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ECA_hist-BCRD
E3SM_1_1_ECA_ssp585-BCRD,8,,/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ECA_ssp585-BCRD,https://portal.nersc.gov/archive/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ECA_ssp585-BCRD
E3SM_1_1_ECA_hist-BDRC,15,,/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ECA_hist-BDRC,https://portal.nersc.gov/archive/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ECA_hist-BDRC
E3SM_1_1_ECA_ssp585-BDRC,8,,/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ECA_ssp585-BDRC,https://portal.nersc.gov/archive/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ECA_ssp585-BDRC
E3SM_1_1_ECA_hist-BDRD,15,,/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ECA_hist-BDRD,https://portal.nersc.gov/archive/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ECA_hist-BDRD
E3SM_1_1_ECA_ssp585-BDRD,8,,/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ECA_ssp585-BDRD,https://portal.nersc.gov/archive/home/projects/e3sm/www/BGC/E3SMv1/E3SM_1_1_ECA_ssp585-BDRD
