model_version, group, resolution, category, simulation_name, machine, checksum, experiment, ensemble_num, link_type, node,
v1, BGC, LR, CTC Control, E3SM_1_1_piControl, edison, , , , none, ,
v1, BGC, LR, CTC Control, E3SM_1_1_piControl-ext85yr, compy, , , , none, ,
v1, BGC, LR, CTC BCRC, E3SM_1_1_hist-BCRC, edison, , , , none, ,
v1, BGC, LR, CTC BCRC, E3SM_1_1_ssp585-BCRC, compy, , , , none, ,
v1, BGC, LR, CTC BCRD, E3SM_1_1_hist-BCRD, edison, , , , none, ,
v1, BGC, LR, CTC BCRD, E3SM_1_1_ssp585-BCRD, compy, , , , none, ,
v1, BGC, LR, CTC BDRC, E3SM_1_1_hist-BDRC, edison, , , , none, ,
v1, BGC, LR, CTC BDRC, E3SM_1_1_ssp585-BDRC, compy, , , , none, ,
v1, BGC, LR, CTC BDRD, E3SM_1_1_hist-BDRD, edison, , , , none, ,
v1, BGC, LR, CTC BDRD, E3SM_1_1_ssp585-BDRD, compy, , , , none, ,
v1, BGC, LR, ECA Control, E3SM_1_1_ECA_piControl, , , , , none, ,
v1, BGC, LR, ECA Control, E3SM_1_1_ECA_piControl-ext85yr, cori-knl, , , , none, ,
v1, BGC, LR, ECA BCRC, E3SM_1_1_ECA_hist-BCRC, edison_and_cori-knl, , , , none, ,
v1, BGC, LR, ECA BCRC, E3SM_1_1_ECA_ssp585-BCRC, cori-knl, , , , none, ,
v1, BGC, LR, ECA BCRD, E3SM_1_1_ECA_hist-BCRD, edison_and_cori-knl, , , , none, ,
v1, BGC, LR, ECA BCRD, E3SM_1_1_ECA_ssp585-BCRD, cori-knl, , , , none, ,
v1, BGC, LR, ECA BDRC, E3SM_1_1_ECA_hist-BDRC, , , , , none, ,
v1, BGC, LR, ECA BDRC, E3SM_1_1_ECA_ssp585-BDRC, , , , , none, ,
v1, BGC, LR, ECA BDRD, E3SM_1_1_ECA_hist-BDRD, , , , , none, ,
v1, BGC, LR, ECA BDRD,  E3SM_1_1_ECA_ssp585-BDRD, , , , , none, ,
