model_version, group, resolution, category, simulation_name, machine, checksum, experiment, ensemble_num, cmip_only,
v3, CoupledSystem, LR, Historical, v3.LR.historical_0301, chrysalis, , historical, 6, cmip_only,
v3, CoupledSystem, LR, Historical, v3.LR.historical_0111, chrysalis, , historical, 7, cmip_only,
v3, CoupledSystem, LR, Historical, v3.LR.historical_0121, chrysalis, , historical, 8, cmip_only,
v3, CoupledSystem, LR, Historical, v3.LR.historical_0131, chrysalis, , historical, 9, cmip_only,
v3, CoupledSystem, LR, Historical, v3.LR.historical_0141, chrysalis, , historical, 10, cmip_only,
v3, CoupledSystem, LR, Historical, v3.LR.historical_0161, chrysalis, , historical, 11, cmip_only,
v3, CoupledSystem, LR, Historical, v3.LR.historical_0171, chrysalis, , historical, 12, cmip_only,
v3, CoupledSystem, LR, Historical, v3.LR.historical_0181, chrysalis, , historical, 13, cmip_only,
v3, CoupledSystem, LR, Historical, v3.LR.historical_0191, chrysalis, , historical, 14, cmip_only,
v3, CoupledSystem, LR, Historical, v3.LR.historical_0211, chrysalis, , historical, 15, cmip_only,
v3, CoupledSystem, LR, Historical, v3.LR.historical_0221, chrysalis, , historical, 16, cmip_only,
v3, CoupledSystem, LR, Historical, v3.LR.historical_0231, chrysalis, , historical, 17, cmip_only,
v3, CoupledSystem, LR, Historical, v3.LR.historical_0241, chrysalis, , historical, 18, cmip_only,
v3, CoupledSystem, LR, Historical, v3.LR.historical_0261, chrysalis, , historical, 19, cmip_only,
v3, CoupledSystem, LR, Historical, v3.LR.historical_0271, chrysalis, , historical, 20, cmip_only,
v3, CoupledSystem, LR, Historical, v3.LR.historical_0281, chrysalis, , historical, 21, cmip_only,
v3, CoupledSystem, LR, Historical, v3.LR.historical_0291, chrysalis, , historical, 22, cmip_only,
v3, CoupledSystem, LR, Historical, v3.LR.historical_0311, chrysalis, , historical, 23, cmip_only,
v3, CoupledSystem, LR, Historical, v3.LR.historical_0321, chrysalis, , historical, 24, cmip_only,
v3, CoupledSystem, LR, Historical, v3.LR.historical_0091, chrysalis, , historical, 25, cmip_only,

